MFile 1 7 120
MTrk
0 SMPTE 96 0 3 0 0
0 TimeSig 4/4 24 8
0 KeySig 0 major
0 Tempo 319149
0 Meta TrkEnd
TrkEnd
MTrk
0 Meta 0x21 00
0 Par ch=2 c=0 v=0
0 Par ch=2 c=32 v=0
0 PrCh ch=2 p=35
0 Par ch=2 c=7 v=127
0 Par ch=2 c=10 v=64
106 Par ch=2 c=121 v=0
132 Par ch=2 c=11 v=127
132 Par ch=2 c=93 v=35
132 Par ch=2 c=91 v=0
480 On ch=2 n=42 v=97
643 On ch=2 n=42 v=0
720 On ch=2 n=42 v=102
780 On ch=2 n=42 v=0
780 On ch=2 n=40 v=97
853 On ch=2 n=40 v=0
900 On ch=2 n=42 v=97
1080 On ch=2 n=42 v=0
1200 On ch=2 n=37 v=101
1277 On ch=2 n=37 v=0
1320 On ch=2 n=39 v=99
1380 On ch=2 n=39 v=0
1440 On ch=2 n=42 v=99
1603 On ch=2 n=42 v=0
1680 On ch=2 n=42 v=105
1736 On ch=2 n=42 v=0
1740 On ch=2 n=40 v=89
1813 On ch=2 n=40 v=0
1860 On ch=2 n=42 v=102
2057 On ch=2 n=42 v=0
2160 On ch=2 n=37 v=109
2227 On ch=2 n=37 v=0
2280 On ch=2 n=39 v=105
2346 On ch=2 n=39 v=0
2400 On ch=2 n=42 v=102
2570 On ch=2 n=42 v=0
2640 On ch=2 n=42 v=99
2690 On ch=2 n=42 v=0
2700 On ch=2 n=40 v=91
2777 On ch=2 n=40 v=0
2820 On ch=2 n=42 v=99
3041 On ch=2 n=42 v=0
3120 On ch=2 n=37 v=106
3195 On ch=2 n=37 v=0
3240 On ch=2 n=39 v=105
3300 On ch=2 n=39 v=0
3360 On ch=2 n=42 v=99
3518 On ch=2 n=42 v=0
3600 On ch=2 n=42 v=99
3646 On ch=2 n=42 v=0
3660 On ch=2 n=40 v=91
3740 On ch=2 n=40 v=0
3780 On ch=2 n=42 v=99
3988 On ch=2 n=42 v=0
4080 On ch=2 n=37 v=101
4142 On ch=2 n=37 v=0
4200 On ch=2 n=39 v=97
4257 On ch=2 n=39 v=0
4320 On ch=2 n=42 v=97
4483 On ch=2 n=42 v=0
4560 On ch=2 n=42 v=102
4620 On ch=2 n=42 v=0
4620 On ch=2 n=40 v=97
4693 On ch=2 n=40 v=0
4740 On ch=2 n=42 v=97
4920 On ch=2 n=42 v=0
5040 On ch=2 n=37 v=101
5117 On ch=2 n=37 v=0
5160 On ch=2 n=39 v=99
5220 On ch=2 n=39 v=0
5280 On ch=2 n=42 v=99
5443 On ch=2 n=42 v=0
5520 On ch=2 n=42 v=105
5576 On ch=2 n=42 v=0
5580 On ch=2 n=40 v=89
5653 On ch=2 n=40 v=0
5700 On ch=2 n=42 v=102
5897 On ch=2 n=42 v=0
6000 On ch=2 n=37 v=109
6067 On ch=2 n=37 v=0
6120 On ch=2 n=39 v=105
6186 On ch=2 n=39 v=0
6240 On ch=2 n=42 v=102
6410 On ch=2 n=42 v=0
6420 On ch=2 n=42 v=89
6450 On ch=2 n=42 v=0
6480 On ch=2 n=35 v=107
6530 On ch=2 n=35 v=0
6540 On ch=2 n=37 v=95
6648 On ch=2 n=37 v=0
6720 On ch=2 n=35 v=107
6941 On ch=2 n=35 v=0
6960 On ch=2 n=30 v=110
7103 On ch=2 n=30 v=0
7140 On ch=2 n=30 v=113
7197 On ch=2 n=30 v=0
7200 On ch=2 n=35 v=107
7421 On ch=2 n=35 v=0
7440 On ch=2 n=30 v=110
7583 On ch=2 n=30 v=0
7620 On ch=2 n=30 v=113
7677 On ch=2 n=30 v=0
7680 On ch=2 n=35 v=107
7901 On ch=2 n=35 v=0
7920 On ch=2 n=30 v=110
8063 On ch=2 n=30 v=0
8100 On ch=2 n=30 v=113
8157 On ch=2 n=30 v=0
8160 On ch=2 n=35 v=107
8381 On ch=2 n=35 v=0
8400 On ch=2 n=30 v=110
8543 On ch=2 n=30 v=0
8580 On ch=2 n=30 v=113
8637 On ch=2 n=30 v=0
8640 On ch=2 n=28 v=117
8880 On ch=2 n=28 v=0
8880 On ch=2 n=30 v=108
8981 On ch=2 n=30 v=0
9000 On ch=2 n=32 v=111
9090 On ch=2 n=32 v=0
9120 On ch=2 n=33 v=107
9330 On ch=2 n=33 v=0
9360 On ch=2 n=35 v=111
9450 On ch=2 n=35 v=0
9480 On ch=2 n=37 v=104
9570 On ch=2 n=37 v=0
9600 On ch=2 n=38 v=103
9810 On ch=2 n=38 v=0
9840 On ch=2 n=37 v=107
9870 On ch=2 n=37 v=0
9900 On ch=2 n=37 v=107
10050 On ch=2 n=37 v=0
10080 On ch=2 n=35 v=105
10212 On ch=2 n=35 v=0
10260 On ch=2 n=35 v=110
10288 On ch=2 n=35 v=0
10320 On ch=2 n=30 v=113
10444 On ch=2 n=30 v=0
10500 On ch=2 n=30 v=99
10515 On ch=2 n=30 v=0
10560 On ch=2 n=35 v=116
10701 On ch=2 n=35 v=0
10740 On ch=2 n=35 v=91
10753 On ch=2 n=35 v=0
10800 On ch=2 n=35 v=116
10860 On ch=2 n=33 v=113
10865 On ch=2 n=35 v=0
10906 On ch=2 n=33 v=0
10920 On ch=2 n=30 v=116
10972 On ch=2 n=30 v=0
10980 On ch=2 n=28 v=107
11030 On ch=2 n=28 v=0
11040 On ch=2 n=30 v=110
11183 On ch=2 n=30 v=0
11220 On ch=2 n=30 v=102
11267 On ch=2 n=30 v=0
11280 On ch=2 n=37 v=109
11440 On ch=2 n=37 v=0
11460 On ch=2 n=37 v=101
11501 On ch=2 n=37 v=0
11520 On ch=2 n=30 v=107
11666 On ch=2 n=30 v=0
11700 On ch=2 n=30 v=97
11735 On ch=2 n=30 v=0
11760 On ch=2 n=37 v=109
11871 On ch=2 n=37 v=0
11880 On ch=2 n=30 v=107
11963 On ch=2 n=30 v=0
12000 On ch=2 n=28 v=113
12126 On ch=2 n=28 v=0
12180 On ch=2 n=28 v=110
12221 On ch=2 n=28 v=0
12240 On ch=2 n=28 v=105
12383 On ch=2 n=28 v=0
12420 On ch=2 n=40 v=97
12466 On ch=2 n=40 v=0
12480 On ch=2 n=28 v=119
12602 On ch=2 n=28 v=0
12660 On ch=2 n=28 v=116
12708 On ch=2 n=28 v=0
12720 On ch=2 n=30 v=107
12816 On ch=2 n=30 v=0
12840 On ch=2 n=32 v=116
12915 On ch=2 n=32 v=0
12960 On ch=2 n=33 v=119
13113 On ch=2 n=33 v=0
13140 On ch=2 n=33 v=101
13188 On ch=2 n=33 v=0
13200 On ch=2 n=28 v=111
13342 On ch=2 n=28 v=0
13380 On ch=2 n=28 v=111
13440 On ch=2 n=28 v=0
13440 On ch=2 n=30 v=114
13596 On ch=2 n=30 v=0
13620 On ch=2 n=25 v=114
13680 On ch=2 n=37 v=102
13681 On ch=2 n=25 v=0
13740 On ch=2 n=33 v=103
13744 On ch=2 n=37 v=0
13796 On ch=2 n=33 v=0
13800 On ch=2 n=35 v=109
13890 On ch=2 n=35 v=0
13920 On ch=2 n=33 v=103
14080 On ch=2 n=33 v=0
14100 On ch=2 n=33 v=111
14153 On ch=2 n=33 v=0
14160 On ch=2 n=28 v=101
14325 On ch=2 n=28 v=0
14340 On ch=2 n=28 v=114
14400 On ch=2 n=30 v=109
14403 On ch=2 n=28 v=0
14544 On ch=2 n=30 v=0
14580 On ch=2 n=25 v=111
14638 On ch=2 n=25 v=0
14640 On ch=2 n=37 v=99
14697 On ch=2 n=37 v=0
14700 On ch=2 n=33 v=111
14751 On ch=2 n=33 v=0
14760 On ch=2 n=35 v=111
14810 On ch=2 n=35 v=0
14820 On ch=2 n=37 v=110
14871 On ch=2 n=37 v=0
14880 On ch=2 n=38 v=111
15033 On ch=2 n=38 v=0
15060 On ch=2 n=38 v=106
15109 On ch=2 n=38 v=0
15120 On ch=2 n=37 v=110
15268 On ch=2 n=37 v=0
15300 On ch=2 n=37 v=107
15353 On ch=2 n=37 v=0
15360 On ch=2 n=35 v=114
15476 On ch=2 n=35 v=0
15540 On ch=2 n=35 v=114
15591 On ch=2 n=35 v=0
15600 On ch=2 n=33 v=114
15646 On ch=2 n=33 v=0
15660 On ch=2 n=37 v=107
15713 On ch=2 n=37 v=0
15720 On ch=2 n=38 v=91
15762 On ch=2 n=38 v=0
15780 On ch=2 n=39 v=93
15826 On ch=2 n=39 v=0
15840 On ch=2 n=40 v=109
15971 On ch=2 n=40 v=0
16020 On ch=2 n=40 v=101
16080 On ch=2 n=38 v=103
16085 On ch=2 n=40 v=0
16216 On ch=2 n=38 v=0
16260 On ch=2 n=38 v=103
16320 On ch=2 n=37 v=107
16322 On ch=2 n=38 v=0
16448 On ch=2 n=37 v=0
16500 On ch=2 n=37 v=107
16558 On ch=2 n=37 v=0
16560 On ch=2 n=35 v=109
16685 On ch=2 n=35 v=0
16740 On ch=2 n=35 v=114
16784 On ch=2 n=35 v=0
16800 On ch=2 n=33 v=119
16953 On ch=2 n=33 v=0
16980 On ch=2 n=33 v=101
17028 On ch=2 n=33 v=0
17040 On ch=2 n=28 v=111
17182 On ch=2 n=28 v=0
17220 On ch=2 n=28 v=111
17280 On ch=2 n=28 v=0
17280 On ch=2 n=30 v=114
17436 On ch=2 n=30 v=0
17460 On ch=2 n=25 v=114
17520 On ch=2 n=37 v=102
17521 On ch=2 n=25 v=0
17580 On ch=2 n=33 v=103
17584 On ch=2 n=37 v=0
17636 On ch=2 n=33 v=0
17640 On ch=2 n=35 v=109
17730 On ch=2 n=35 v=0
17760 On ch=2 n=33 v=103
17920 On ch=2 n=33 v=0
17940 On ch=2 n=33 v=111
17993 On ch=2 n=33 v=0
18000 On ch=2 n=28 v=101
18165 On ch=2 n=28 v=0
18180 On ch=2 n=28 v=114
18240 On ch=2 n=30 v=109
18243 On ch=2 n=28 v=0
18384 On ch=2 n=30 v=0
18420 On ch=2 n=25 v=111
18478 On ch=2 n=25 v=0
18480 On ch=2 n=37 v=99
18537 On ch=2 n=37 v=0
18540 On ch=2 n=33 v=111
18591 On ch=2 n=33 v=0
18600 On ch=2 n=35 v=111
18650 On ch=2 n=35 v=0
18660 On ch=2 n=37 v=110
18711 On ch=2 n=37 v=0
18720 On ch=2 n=38 v=111
18873 On ch=2 n=38 v=0
18900 On ch=2 n=38 v=106
18949 On ch=2 n=38 v=0
18960 On ch=2 n=37 v=110
19108 On ch=2 n=37 v=0
19140 On ch=2 n=37 v=107
19193 On ch=2 n=37 v=0
19200 On ch=2 n=35 v=114
19316 On ch=2 n=35 v=0
19380 On ch=2 n=35 v=114
19431 On ch=2 n=35 v=0
19440 On ch=2 n=33 v=114
19486 On ch=2 n=33 v=0
19500 On ch=2 n=32 v=111
19553 On ch=2 n=32 v=0
19560 On ch=2 n=33 v=99
19602 On ch=2 n=33 v=0
19620 On ch=2 n=34 v=101
19666 On ch=2 n=34 v=0
19680 On ch=2 n=35 v=117
19836 On ch=2 n=35 v=0
19860 On ch=2 n=35 v=102
19907 On ch=2 n=35 v=0
19920 On ch=2 n=30 v=107
20083 On ch=2 n=30 v=0
20100 On ch=2 n=30 v=102
20153 On ch=2 n=30 v=0
20160 On ch=2 n=35 v=105
20318 On ch=2 n=35 v=0
20340 On ch=2 n=35 v=107
20385 On ch=2 n=35 v=0
20400 On ch=2 n=30 v=110
20506 On ch=2 n=30 v=0
20520 On ch=2 n=35 v=110
20615 On ch=2 n=35 v=0
20640 On ch=2 n=42 v=102
20810 On ch=2 n=42 v=0
20880 On ch=2 n=42 v=99
20930 On ch=2 n=42 v=0
20940 On ch=2 n=40 v=91
21017 On ch=2 n=40 v=0
21060 On ch=2 n=42 v=99
21281 On ch=2 n=42 v=0
21360 On ch=2 n=37 v=106
21435 On ch=2 n=37 v=0
21480 On ch=2 n=39 v=105
21540 On ch=2 n=39 v=0
21600 On ch=2 n=42 v=99
21758 On ch=2 n=42 v=0
21840 On ch=2 n=42 v=99
21886 On ch=2 n=42 v=0
21900 On ch=2 n=40 v=91
21980 On ch=2 n=40 v=0
22020 On ch=2 n=42 v=99
22228 On ch=2 n=42 v=0
22320 On ch=2 n=37 v=101
22382 On ch=2 n=37 v=0
22440 On ch=2 n=39 v=97
22497 On ch=2 n=39 v=0
22560 On ch=2 n=42 v=97
22723 On ch=2 n=42 v=0
22800 On ch=2 n=42 v=102
22860 On ch=2 n=42 v=0
22860 On ch=2 n=40 v=97
22933 On ch=2 n=40 v=0
22980 On ch=2 n=42 v=97
23160 On ch=2 n=42 v=0
23280 On ch=2 n=37 v=101
23357 On ch=2 n=37 v=0
23400 On ch=2 n=39 v=99
23460 On ch=2 n=39 v=0
23520 On ch=2 n=42 v=99
23683 On ch=2 n=42 v=0
23760 On ch=2 n=42 v=105
23816 On ch=2 n=42 v=0
23820 On ch=2 n=40 v=89
23893 On ch=2 n=40 v=0
23940 On ch=2 n=42 v=102
24137 On ch=2 n=42 v=0
24240 On ch=2 n=37 v=109
24307 On ch=2 n=37 v=0
24360 On ch=2 n=39 v=105
24426 On ch=2 n=39 v=0
24480 On ch=2 n=42 v=102
24650 On ch=2 n=42 v=0
24660 On ch=2 n=42 v=89
24690 On ch=2 n=42 v=0
24720 On ch=2 n=35 v=107
24770 On ch=2 n=35 v=0
24780 On ch=2 n=37 v=95
24888 On ch=2 n=37 v=0
24960 On ch=2 n=35 v=107
25181 On ch=2 n=35 v=0
25200 On ch=2 n=30 v=110
25343 On ch=2 n=30 v=0
25380 On ch=2 n=30 v=113
25437 On ch=2 n=30 v=0
25440 On ch=2 n=35 v=107
25661 On ch=2 n=35 v=0
25680 On ch=2 n=30 v=110
25823 On ch=2 n=30 v=0
25860 On ch=2 n=30 v=113
25917 On ch=2 n=30 v=0
25920 On ch=2 n=35 v=107
26141 On ch=2 n=35 v=0
26160 On ch=2 n=30 v=110
26303 On ch=2 n=30 v=0
26340 On ch=2 n=30 v=113
26397 On ch=2 n=30 v=0
26400 On ch=2 n=35 v=107
26621 On ch=2 n=35 v=0
26640 On ch=2 n=30 v=110
26783 On ch=2 n=30 v=0
26820 On ch=2 n=30 v=113
26877 On ch=2 n=30 v=0
26880 On ch=2 n=28 v=117
27120 On ch=2 n=28 v=0
27120 On ch=2 n=30 v=108
27221 On ch=2 n=30 v=0
27240 On ch=2 n=32 v=111
27330 On ch=2 n=32 v=0
27360 On ch=2 n=33 v=107
27570 On ch=2 n=33 v=0
27600 On ch=2 n=35 v=111
27690 On ch=2 n=35 v=0
27720 On ch=2 n=37 v=104
27810 On ch=2 n=37 v=0
27840 On ch=2 n=38 v=103
28050 On ch=2 n=38 v=0
28080 On ch=2 n=37 v=107
28110 On ch=2 n=37 v=0
28140 On ch=2 n=37 v=107
28290 On ch=2 n=37 v=0
28320 On ch=2 n=35 v=105
28452 On ch=2 n=35 v=0
28500 On ch=2 n=35 v=110
28528 On ch=2 n=35 v=0
28560 On ch=2 n=30 v=113
28684 On ch=2 n=30 v=0
28740 On ch=2 n=30 v=99
28755 On ch=2 n=30 v=0
28800 On ch=2 n=35 v=116
28941 On ch=2 n=35 v=0
28980 On ch=2 n=35 v=91
28993 On ch=2 n=35 v=0
29040 On ch=2 n=35 v=116
29100 On ch=2 n=33 v=113
29105 On ch=2 n=35 v=0
29146 On ch=2 n=33 v=0
29160 On ch=2 n=30 v=116
29212 On ch=2 n=30 v=0
29220 On ch=2 n=28 v=107
29270 On ch=2 n=28 v=0
29280 On ch=2 n=30 v=110
29423 On ch=2 n=30 v=0
29460 On ch=2 n=30 v=102
29507 On ch=2 n=30 v=0
29520 On ch=2 n=37 v=109
29680 On ch=2 n=37 v=0
29700 On ch=2 n=37 v=101
29741 On ch=2 n=37 v=0
29760 On ch=2 n=30 v=107
29906 On ch=2 n=30 v=0
29940 On ch=2 n=30 v=97
29975 On ch=2 n=30 v=0
30000 On ch=2 n=37 v=109
30111 On ch=2 n=37 v=0
30120 On ch=2 n=30 v=107
30203 On ch=2 n=30 v=0
30240 On ch=2 n=28 v=113
30366 On ch=2 n=28 v=0
30420 On ch=2 n=28 v=110
30461 On ch=2 n=28 v=0
30480 On ch=2 n=28 v=105
30623 On ch=2 n=28 v=0
30660 On ch=2 n=40 v=97
30706 On ch=2 n=40 v=0
30720 On ch=2 n=28 v=119
30842 On ch=2 n=28 v=0
30900 On ch=2 n=28 v=116
30948 On ch=2 n=28 v=0
30960 On ch=2 n=30 v=107
31056 On ch=2 n=30 v=0
31080 On ch=2 n=32 v=116
31155 On ch=2 n=32 v=0
31200 On ch=2 n=33 v=119
31353 On ch=2 n=33 v=0
31380 On ch=2 n=33 v=101
31428 On ch=2 n=33 v=0
31440 On ch=2 n=28 v=111
31582 On ch=2 n=28 v=0
31620 On ch=2 n=28 v=111
31680 On ch=2 n=28 v=0
31680 On ch=2 n=30 v=114
31836 On ch=2 n=30 v=0
31860 On ch=2 n=25 v=114
31920 On ch=2 n=37 v=102
31921 On ch=2 n=25 v=0
31980 On ch=2 n=33 v=103
31984 On ch=2 n=37 v=0
32036 On ch=2 n=33 v=0
32040 On ch=2 n=35 v=109
32130 On ch=2 n=35 v=0
32160 On ch=2 n=33 v=103
32320 On ch=2 n=33 v=0
32340 On ch=2 n=33 v=111
32393 On ch=2 n=33 v=0
32400 On ch=2 n=28 v=101
32565 On ch=2 n=28 v=0
32580 On ch=2 n=28 v=114
32640 On ch=2 n=30 v=109
32643 On ch=2 n=28 v=0
32784 On ch=2 n=30 v=0
32820 On ch=2 n=25 v=111
32878 On ch=2 n=25 v=0
32880 On ch=2 n=37 v=99
32937 On ch=2 n=37 v=0
32940 On ch=2 n=33 v=111
32991 On ch=2 n=33 v=0
33000 On ch=2 n=35 v=111
33050 On ch=2 n=35 v=0
33060 On ch=2 n=37 v=110
33111 On ch=2 n=37 v=0
33120 On ch=2 n=38 v=111
33273 On ch=2 n=38 v=0
33300 On ch=2 n=38 v=106
33349 On ch=2 n=38 v=0
33360 On ch=2 n=37 v=110
33508 On ch=2 n=37 v=0
33540 On ch=2 n=37 v=107
33593 On ch=2 n=37 v=0
33600 On ch=2 n=35 v=114
33716 On ch=2 n=35 v=0
33780 On ch=2 n=35 v=114
33831 On ch=2 n=35 v=0
33840 On ch=2 n=33 v=114
33886 On ch=2 n=33 v=0
33900 On ch=2 n=37 v=107
33953 On ch=2 n=37 v=0
33960 On ch=2 n=38 v=91
34002 On ch=2 n=38 v=0
34020 On ch=2 n=39 v=93
34066 On ch=2 n=39 v=0
34080 On ch=2 n=40 v=109
34211 On ch=2 n=40 v=0
34260 On ch=2 n=40 v=101
34320 On ch=2 n=38 v=103
34325 On ch=2 n=40 v=0
34456 On ch=2 n=38 v=0
34500 On ch=2 n=38 v=103
34560 On ch=2 n=37 v=107
34562 On ch=2 n=38 v=0
34688 On ch=2 n=37 v=0
34740 On ch=2 n=37 v=107
34798 On ch=2 n=37 v=0
34800 On ch=2 n=35 v=109
34925 On ch=2 n=35 v=0
34980 On ch=2 n=35 v=114
35024 On ch=2 n=35 v=0
35040 On ch=2 n=33 v=119
35193 On ch=2 n=33 v=0
35220 On ch=2 n=33 v=101
35268 On ch=2 n=33 v=0
35280 On ch=2 n=28 v=111
35422 On ch=2 n=28 v=0
35460 On ch=2 n=28 v=111
35520 On ch=2 n=28 v=0
35520 On ch=2 n=30 v=114
35676 On ch=2 n=30 v=0
35700 On ch=2 n=25 v=114
35760 On ch=2 n=37 v=102
35761 On ch=2 n=25 v=0
35820 On ch=2 n=33 v=103
35824 On ch=2 n=37 v=0
35876 On ch=2 n=33 v=0
35880 On ch=2 n=35 v=109
35970 On ch=2 n=35 v=0
36000 On ch=2 n=33 v=103
36160 On ch=2 n=33 v=0
36180 On ch=2 n=33 v=111
36233 On ch=2 n=33 v=0
36240 On ch=2 n=28 v=101
36405 On ch=2 n=28 v=0
36420 On ch=2 n=28 v=114
36480 On ch=2 n=30 v=109
36483 On ch=2 n=28 v=0
36624 On ch=2 n=30 v=0
36660 On ch=2 n=25 v=111
36718 On ch=2 n=25 v=0
36720 On ch=2 n=37 v=99
36777 On ch=2 n=37 v=0
36780 On ch=2 n=33 v=111
36831 On ch=2 n=33 v=0
36840 On ch=2 n=35 v=111
36890 On ch=2 n=35 v=0
36900 On ch=2 n=37 v=110
36951 On ch=2 n=37 v=0
36960 On ch=2 n=38 v=111
37113 On ch=2 n=38 v=0
37140 On ch=2 n=38 v=106
37189 On ch=2 n=38 v=0
37200 On ch=2 n=37 v=110
37348 On ch=2 n=37 v=0
37380 On ch=2 n=37 v=107
37433 On ch=2 n=37 v=0
37440 On ch=2 n=35 v=114
37556 On ch=2 n=35 v=0
37620 On ch=2 n=35 v=114
37671 On ch=2 n=35 v=0
37680 On ch=2 n=33 v=114
37726 On ch=2 n=33 v=0
37740 On ch=2 n=32 v=111
37793 On ch=2 n=32 v=0
37800 On ch=2 n=33 v=99
37842 On ch=2 n=33 v=0
37860 On ch=2 n=34 v=101
37906 On ch=2 n=34 v=0
37920 On ch=2 n=35 v=117
38076 On ch=2 n=35 v=0
38100 On ch=2 n=35 v=102
38147 On ch=2 n=35 v=0
38160 On ch=2 n=30 v=107
38323 On ch=2 n=30 v=0
38340 On ch=2 n=30 v=102
38393 On ch=2 n=30 v=0
38400 On ch=2 n=35 v=105
38558 On ch=2 n=35 v=0
38580 On ch=2 n=35 v=107
38625 On ch=2 n=35 v=0
38640 On ch=2 n=30 v=110
38746 On ch=2 n=30 v=0
38760 On ch=2 n=35 v=110
38855 On ch=2 n=35 v=0
38880 On ch=2 n=42 v=102
39050 On ch=2 n=42 v=0
39120 On ch=2 n=42 v=99
39170 On ch=2 n=42 v=0
39180 On ch=2 n=40 v=91
39257 On ch=2 n=40 v=0
39300 On ch=2 n=42 v=99
39521 On ch=2 n=42 v=0
39600 On ch=2 n=37 v=106
39675 On ch=2 n=37 v=0
39720 On ch=2 n=39 v=105
39780 On ch=2 n=39 v=0
39840 On ch=2 n=42 v=99
39998 On ch=2 n=42 v=0
40080 On ch=2 n=42 v=99
40126 On ch=2 n=42 v=0
40140 On ch=2 n=40 v=91
40220 On ch=2 n=40 v=0
40260 On ch=2 n=42 v=99
40468 On ch=2 n=42 v=0
40560 On ch=2 n=37 v=101
40622 On ch=2 n=37 v=0
40680 On ch=2 n=39 v=97
40737 On ch=2 n=39 v=0
40800 On ch=2 n=42 v=97
40963 On ch=2 n=42 v=0
41040 On ch=2 n=42 v=102
41100 On ch=2 n=42 v=0
41100 On ch=2 n=40 v=97
41173 On ch=2 n=40 v=0
41220 On ch=2 n=42 v=97
41400 On ch=2 n=42 v=0
41520 On ch=2 n=37 v=101
41597 On ch=2 n=37 v=0
41640 On ch=2 n=39 v=99
41700 On ch=2 n=39 v=0
41760 On ch=2 n=42 v=99
41923 On ch=2 n=42 v=0
42000 On ch=2 n=42 v=105
42056 On ch=2 n=42 v=0
42060 On ch=2 n=40 v=89
42133 On ch=2 n=40 v=0
42180 On ch=2 n=42 v=102
